n,k,u,m,r,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t
8388608,16,4294967218,15,1,270848516,265717809,261117916,256964321,269683665,259132478,264102707,271579186,278369185,274415336,267047336,278139159,390716507,385917326,384387841,402454550,402454550
8388608,16,4294967275,15,1,250766589,240312857,262445293,255918923,252092935,248621936,251634339,244073735,235806649,263691954,249807978,256685519,251676544,263175501,263078190,270735607,270735607
16777216,16,4294966463,15,1,267130810,257592969,259259921,265921242,267338005,279034414,263582769,275369220,264158701,271611670,257086045,250867652,244436181,265784928,262529830,277841508,279034414
16777216,16,4294966995,15,1,294378343,290168281,290855458,285145007,270502938,285538633,292477926,279550473,298996746,287903476,280374414,292958277,296081596,288325772,279154457,270659313,298996746
16777216,16,4294967007,15,1,262531067,260871196,267700120,274203613,272311333,266467467,269511506,261682781,281240945,266195048,277391655,274494268,407153511,395522505,401294150,390013446,407153511
16777216,16,4294967101,15,1,261419338,254070381,260366784,280791413,277815094,271278424,275072832,286441563,282356390,278518538,274709453,274376401,283054731,277268261,292547332,291504448,292547332
16777216,16,4294967182,15,1,242866415,233850254,239009510,251356327,260517739,251926774,268000854,274226063,272937599,263143620,268048572,269792735,263113118,270378314,287597529,276946616,287597529
16777216,16,4294967196,15,1,234667027,244260349,226440417,236429704,242544698,246423902,251965932,251123761,259244515,252744258,248127173,241142951,246718893,239872201,251299805,236026985,259244515
16777216,16,4294967229,15,1,254316049,247280024,249007640,240902108,263531222,253290622,257384051,250590432,255937517,251561188,244412210,239446839,262233094,244706202,256829853,251813970,263531222
16777216,16,4294967291,15,1,248510517,253266489,276013487,271960890,265529240,271382958,268425024,272792361,278244767,285374682,289601110,287676095,282368375,271529359,275273320,287910576,289601110
16777216,16,4294967292,15,1,249189159,258808813,255659382,261469345,259304934,266196306,273117393,258767085,276094589,269636084,264758441,275057580,266537825,277019229,263535011,275711131,277019229
16777216,16,4294967293,15,1,273121517,269417590,262173567,257573582,266306589,276548472,270458645,263496317,280821709,278302392,270633420,280329228,275086936,268030481,270624037,265353215,280821709
33554432,16,4294966369,15,1,283136341,295986501,289243804,289191467,298909532,293767362,315319672,306450292,319475401,311660174,312894955,307967154,323666849,317187130,325113642,332115660,332115660
33554432,16,4294967145,15,1,301318887,303008987,305420306,312610011,312100961,322901471,313931641,310423308,322767320,308377246,319121965,307926150,312337792,304506712,322840589,338695510,338695510
33554432,16,4294967150,15,1,322918148,335128275,323798493,331224955,330016137,339009632,335069812,331892758,323732073,339073094,335562706,327999467,322429388,341127170,336198821,322804591,341127170
33554432,16,4294967155,15,1,279094925,290763235,283733276,306410207,301779396,308647951,305463457,302937647,296081885,299706409,314733963,316257304,309511270,303836481,321207292,321495014,321495014
33554432,16,4294967170,15,1,331856756,319963204,332012588,338240182,326756843,326138928,349266188,357043136,361976112,353491786,350832959,347077108,339514771,358714763,370750720,366866442,370750720
33554432,16,4294967241,15,1,289915356,287179365,284424590,286641156,295023765,306081943,300253570,294896899,293219474,305376794,299444112,325347768,324374903,320096572,334620119,344874687,344874687
33554432,16,4294967266,15,1,312234493,312550778,317223331,306219572,310010184,322128682,313622878,321653930,312759246,312546151,319135053,333940746,326856241,323698882,307848013,300210765,333940746
33554432,16,4294967268,15,1,309124121,296288214,290318015,309290101,288746241,304627601,299757475,306037730,313329579,318643425,310992632,303624719,311404731,304414696,300114063,316796316,318643425
33554432,16,4294967271,15,1,282433462,282740812,281394864,293727373,288120508,287748204,280524677,292336894,284367301,291601529,282239886,300571505,288454666,296830947,282725612,298874149,300571505
33554432,16,4294967290,15,1,309097979,314768822,311717862,303715617,304903518,316214328,312029667,317489758,306392388,302916306,312811626,314714999,314277878,302908776,307342636,321502033,321502033
