n,k,u,m,r,t0,t1,t2,t3,t4,t5,t6,t7,t
2097152,8,4294965481,7,1,236873459,222770268,224423811,232704004,226458862,230347889,240728117,242116332,242116332
2097152,8,4294965506,7,1,238293726,244383720,235351934,228485241,238138002,241680653,230794587,226832716,244383720
2097152,8,4294965801,7,1,232925865,221428582,226662075,228483138,224123514,217433430,234627239,244559468,244559468
2097152,8,4294965862,7,1,233448568,225445649,229864596,220527619,236556705,231141460,226065156,251290093,251290093
2097152,8,4294967196,7,1,229476322,221703046,218392240,234493520,226105843,220322587,209336551,216663865,234493520
2097152,8,4294967281,7,1,230633767,234200805,223139396,220886691,218188278,228845083,218288340,232046102,234200805
4194304,8,4294963689,7,1,233909732,251718456,240972553,249075753,230752609,226111192,239158574,243269920,251718456
4194304,8,4294965256,7,1,223750089,244900634,240136677,232772904,244359442,230109308,237629835,234285112,244900634
4194304,8,4294965346,7,1,226987665,239099658,232704708,243272423,241603755,238603526,232286171,227973832,243272423
4194304,8,4294965466,7,1,229806010,233363983,245336506,239923282,251807897,215759342,226111311,241561889,251807897
4194304,8,4294966041,7,1,229397464,243367744,231689455,239247672,244653944,228961393,240959738,234592829,244653944
4194304,8,4294966805,7,1,228951808,222969183,217636120,237234104,236825651,224806505,220690923,232265138,237234104
4194304,8,4294966900,7,1,254380397,236632162,244895786,260102865,258267958,249885035,260349906,245746514,260349906
4194304,8,4294966971,7,1,231878316,238277911,220958743,227961265,232919833,240274603,230365555,249207439,249207439
4194304,8,4294967019,7,1,242584247,249975571,238588315,233243211,249138952,238926298,237946295,244591787,249975571
4194304,8,4294967241,7,1,243885065,255030996,251154306,240039900,245353470,241840772,234634033,257847023,257847023
8388608,8,4294966429,7,1,269220410,287697212,280909742,276263730,279186174,275511641,268374479,263843348,287697212
8388608,8,4294966644,7,1,234462924,242740941,221828777,230936797,243460055,232929628,227431013,239241244,243460055
8388608,8,4294966657,7,1,262581991,266003415,261534632,258960783,278549533,274429943,286770122,277049602,286770122
8388608,8,4294966884,7,1,243616317,252520573,228098278,259181085,243135774,254558284,247809897,238943056,259181085
8388608,8,4294966981,7,1,252612988,254114648,247552049,239290269,256765753,265045310,253050158,245130831,265045310
8388608,8,4294967040,7,1,273998679,259607724,271939837,264507390,275956244,272090514,265050636,260802279,275956244
8388608,8,4294967062,7,1,258845542,281938989,273574304,267298068,264104260,281849165,270215186,277679740,281938989
8388608,8,4294967145,7,1,281603673,273629011,272382706,279223433,268285290,269824595,266226996,281602439,281603673
8388608,8,4294967251,7,1,241164932,245186400,252441205,229598591,244090971,251420257,239831464,260673467,260673467
8388608,8,4294967283,7,1,237537110,243903550,251465316,233216655,237473382,242586647,250996179,258566456,258566456
16777216,8,4294966495,7,1,312701222,313247680,308625390,304770782,309433896,298889674,319858676,311595738,319858676
16777216,8,4294966858,7,1,266569582,286288577,279232228,274764929,266995224,286499121,282312278,276389678,286499121
16777216,8,4294966918,7,1,321761890,307566679,315203934,298903389,320719729,307253195,317401269,310852122,321761890
16777216,8,4294966990,7,1,291368976,303552582,299562147,292866755,287830232,302801550,284947025,279819712,303552582
16777216,8,4294967039,7,1,298739134,295159292,288353009,306060759,290344982,303332962,298449766,310208219,310208219
16777216,8,4294967062,7,1,284121655,292052247,290552269,281444886,277867835,294589101,304003440,289768652,304003440
16777216,8,4294967229,7,1,321326822,313972582,323410317,314112168,323780930,308606688,314954191,320878252,323780930
16777216,8,4294967247,7,1,309118004,304278454,298913987,317456338,310153527,323636554,321748259,316280097,323636554
16777216,8,4294967278,7,1,319346037,294389038,303704548,304081792,320115491,319346154,310958503,314037883,320115491
16777216,8,4294967287,7,1,322441818,314018204,314876224,319186807,309252057,304272397,336983395,332656791,336983395
33554432,8,4294966957,7,1,383255640,385221278,395592056,380405160,375089560,396395336,390898910,379691368,396395336
33554432,8,4294967106,7,1,419869783,416127852,407146758,403910689,417591501,412902325,409100327,421809384,421809384
33554432,8,4294967142,7,1,404914324,397311944,384251166,417805759,403400385,403939966,409749708,397404321,417805759
33554432,8,4294967183,7,1,385491733,366863221,371137948,360426212,369736004,359173718,376386496,367179774,385491733
33554432,8,4294967212,7,1,377395998,372429280,389037251,384543426,362354988,373541422,370206465,382051031,389037251
33554432,8,4294967229,7,1,375005612,379964083,363415531,372029179,365193309,361765236,369591724,380212930,380212930
33554432,8,4294967230,7,1,402368348,417018382,407774531,396559213,407372284,419127118,415068492,404907544,419127118
33554432,8,4294967245,7,1,352849825,362599314,356522429,371065040,373848385,382090502,363987751,372007557,382090502
33554432,8,4294967260,7,1,392007610,386034641,391031430,374572505,385497664,380859103,384520118,381992320,392007610
33554432,8,4294967292,7,1,366380011,383151613,374303059,391319149,387429010,380458535,375585605,380683646,391319149
67108864,8,4294967024,7,1,545517098,569418716,561497819,556331868,550666702,557995742,551335029,564937590,569418716
67108864,8,4294967123,7,1,578343533,567734386,554028610,559936186,574792757,571256540,563854989,581089460,581089460
67108864,8,4294967269,7,1,561772664,567600395,551038235,559314248,553078912,560061608,565859400,548949939,567600395
67108864,8,4294967271,7,1,539221765,544785516,551817802,533116171,541999554,538335447,530296213,527257440,551817802
67108864,8,4294967271,7,1,564747413,572584901,584089851,577915218,567289230,560649690,572647524,578641755,584089851
67108864,8,4294967272,7,1,557081978,568020790,562414853,575284046,568582593,564467610,561105827,555754846,575284046
67108864,8,4294967279,7,1,560424560,549244049,555092270,567503986,561364976,555257611,537526625,547850368,567503986
67108864,8,4294967279,7,1,589807951,584275190,578870044,572490289,580581952,579702955,575408383,587335936,589807951
67108864,8,4294967282,7,1,549686562,555690190,538251692,553554350,544624358,564765155,555864196,546932912,564765155
67108864,8,4294967284,7,1,573937774,581306121,585336313,572381434,577449029,568708034,572627959,586711071,586711071
134217728,8,4294967216,7,1,915613196,897152678,909774492,913665251,904656835,917352663,908164566,903907801,917352663
134217728,8,4294967220,7,1,921397675,911408038,922712029,915732323,913324306,916876837,907708278,927871886,927871886
134217728,8,4294967241,7,1,923278994,929079700,935111884,915975683,920478527,930639228,924803274,920297023,935111884
134217728,8,4294967250,7,1,920859840,906436649,917604853,902535990,924859183,910250569,909161192,917922668,924859183
134217728,8,4294967251,7,1,912586305,925229883,918112752,933678401,926105868,935660864,925116458,945902901,945902901
134217728,8,4294967257,7,1,924180735,908676449,914718703,910878466,903320784,922158200,923783184,915329726,924180735
134217728,8,4294967273,7,1,911741610,905743359,900293929,898831443,902637152,903493939,888180991,893786010,911741610
134217728,8,4294967275,7,1,907345454,912978245,919838123,923807263,910541765,920768657,896473758,903068712,923807263
134217728,8,4294967278,7,1,911794990,906096722,900987211,915055993,910089382,923544921,904111714,922031753,923544921
134217728,8,4294967295,7,1,891244295,898806330,887323346,880550741,892571441,887741525,876272279,883110216,898806330
268435456,8,4294967253,7,1,1610469835,1622563352,1615541236,1603846126,1624573848,1613054326,1618897854,1607522456,1624573848
268435456,8,4294967281,7,1,1610059509,1603951656,1599295965,1624083006,1611378583,1604979286,1619662944,1617562266,1624083006
268435456,8,4294967283,7,1,1589399287,1585853000,1578458370,1595784445,1580292978,1596869110,1588253561,1600358458,1600358458
268435456,8,4294967284,7,1,1591758871,1628585656,1618936663,1623652529,1623895223,1633901715,1629570099,1624164606,1633901715
268435456,8,4294967284,7,1,1591952843,1597234272,1604662634,1590933437,1611540519,1603729167,1598166597,1595283102,1611540519
268435456,8,4294967287,7,1,1586229353,1593095407,1602833465,1597665602,1595975659,1590006279,1580476990,1585202574,1602833465
268435456,8,4294967290,7,1,1590139562,1608204100,1583768124,1600522003,1598502016,1605962586,1609902668,1595395225,1609902668
268435456,8,4294967292,7,1,1607010224,1611349600,1596365416,1607587422,1611723204,1596111989,1600801790,1603974281,1611723204
268435456,8,4294967293,7,1,1624932510,1631231321,1619089784,1615198124,1629340317,1636052362,1624359163,1621410536,1636052362
268435456,8,4294967294,7,1,1603465447,1587253726,1599587047,1599615531,1591112317,1583578879,1595819344,1590398868,1603465447
