n,k,u,m,r,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t
32768,32,4294870567,31,1,237232149,242574512,239869953,235892268,247573866,244479369,242034038,239461977,242289089,236561100,242413453,236523500,238960793,240097272,231205688,234329690,232177003,245175486,241553194,238428643,222791544,242367299,232084768,209360696,225652477,244663959,220508302,236479438,244576873,243130869,235511966,228443062,247573866
32768,32,4294907113,31,1,241600659,238783040,236272588,233597590,246589604,243634938,241153949,237682620,247091922,243742031,237776820,241264293,237928999,234313169,241666800,226930517,228891766,236488794,232500779,230299294,233851559,237855377,230767424,227413490,235178463,230988120,223472565,219186090,232455682,215916212,224314696,245694627,247091922
32768,32,4294934779,31,1,240804191,239992508,236301366,248071866,243943199,242932463,239415471,243498475,246029659,243877517,240795292,249601903,248482943,241285245,236130229,232721067,247511509,243895971,240317595,237957091,246188257,241570205,244442057,241505466,237645126,235345686,252123670,236807436,240651963,236294898,244182815,231172893,252123670
32768,32,4294941205,31,1,251929875,249105927,257547320,254629422,239027629,234048958,256168141,252086350,243742782,242461969,234542690,255615831,251478564,249406934,245289915,238846004,244314785,250481927,264908765,260726504,263071190,259052007,251198414,245627420,266926356,264425070,253122481,258125325,258561097,255353861,248545688,274976506,274976506
32768,32,4294952008,31,1,266673603,259667926,256766375,262764442,250577455,272870120,271787460,270218979,268773029,277969361,274764775,276358213,273407557,267317940,259095433,253112011,247965774,266699030,261652515,249177302,242044647,267145905,259417767,253699261,237631263,249081297,245544187,255311368,338546632,332760428,337467234,346442056,346442056
32768,32,4294960103,31,1,214479753,215782110,212111116,218459310,219388696,215328402,231546878,225421141,221465903,227134686,206101749,221203851,210341776,215127029,197935066,221238271,257827424,252671253,261429451,262541711,259911517,254941230,257328474,251878745,254189684,259364942,253646720,262277374,257344813,250093978,249642802,259193245,262541711
32768,32,4294966494,31,1,221761739,225410172,227390739,224118486,230893500,226094245,226488581,222201216,214534699,220255409,210899544,207432843,221527552,216557023,225038603,220796324,199487001,218525402,211422165,205109546,215737050,222614750,218149776,213396151,221206463,228140938,212804798,204066428,209494098,221320762,223974262,214431609,230893500
65536,32,4294704658,31,1,222980140,231538416,228500748,225822268,226594532,228978916,223932765,229837000,226624154,224664012,228656342,213991784,225446333,220939037,215295365,235976841,226058310,227876914,224087973,219602878,214930400,221134001,223298192,220503724,230610310,218761380,223407839,235146347,227570993,221774299,218196232,237995225,237995225
65536,32,4294848353,31,1,242751600,237610504,230905119,222650587,234227760,240661761,244711640,228455328,241082244,238282416,236984282,234342976,240547943,236319996,243992903,232569307,240376796,238233848,236286199,246663304,241148240,230178838,226996371,234713405,241051641,247023329,234703378,238324051,222537092,232031269,231807310,218515099,247023329
65536,32,4294879948,31,1,211573393,214134139,208552112,200199206,221515683,206290777,213522524,227038399,221142175,211530036,222862663,221220471,212192933,212974339,216499417,254450330,255534722,250912521,254695005,247325372,238283279,243032188,246644391,246496664,235802219,247044709,242144150,239965861,235650159,255209709,257191951,255447047,257191951
65536,32,4294897182,31,1,219751277,218587312,231134934,213765407,234394269,231139896,227451700,230239138,222354976,213483597,234096341,228622864,217324079,222085354,231550564,227577200,229195606,234745646,230130043,228876945,224486840,229052144,221555173,229615531,226928331,239016279,225629445,218924408,240874580,230774428,239082601,226894591,240874580
65536,32,4294909393,31,1,214500024,211861865,208634821,217369159,213271831,223308910,254667487,234485514,220853743,247332376,242285702,246966214,220742711,228110762,239255030,245730202,252582206,248429445,252732427,244862042,254146583,258567857,232063753,246986002,251561444,239273275,256696114,241084195,248039083,254301004,251732006,262122334,262122334
65536,32,4294913549,31,1,237354764,232477152,241699537,238711253,236110246,233265022,235912790,233901738,236847486,235126070,239962502,244217820,232728379,246163781,235760687,240847575,239303127,240278175,235888854,238219211,232266952,228677693,245065895,247246000,239863559,226132380,239006639,234312771,244743004,236988293,231498551,225400599,247246000
65536,32,4294932238,31,1,241293045,238063402,232811456,235851349,230767192,233906254,228345801,225454881,229388672,217701237,221363381,219115730,237452687,227256366,231408149,234521247,233587318,230140037,224499657,219040676,222754995,240719522,230228883,235682965,222959655,241388840,231889762,239437190,320596550,314226462,299816860,305835402,320596550
65536,32,4294946745,31,1,201853576,241914827,236914938,245170634,239935812,225903929,246188276,241155200,249579112,244130767,241425526,239308745,240939085,246861554,234838343,229115035,250550283,244893250,235350954,241969873,237559894,238195464,234831136,230900067,236405345,217991608,226637217,247217957,226376746,232236286,238395434,223324935,250550283
65536,32,4294953086,31,1,206470226,204382388,201532467,210136036,212149244,214799273,208977645,199644751,204819039,207743965,204730024,201893995,202212680,200422201,199807365,197414927,199079300,209073051,207040332,217099605,214622190,214066219,217778782,207023850,224016033,247276642,240026540,241896722,236349614,242476596,246101021,252931925,252931925
65536,32,4294961484,31,1,193952279,188853296,191791222,203288930,201236735,197843237,198633019,200013603,194399504,195097292,193240295,191301033,189733942,199414829,199066521,188743638,194731093,182957947,208937248,200396860,199971994,194797300,208500640,233614974,235120554,233862306,228976641,231485099,231498155,230529104,239982406,243049806,243049806
131072,32,4294897599,31,1,225203676,225979313,222310875,223545240,216400785,221071937,246878499,244094894,241528794,238170165,231896323,231715046,235574443,228306622,229616389,232702901,246279555,250552158,245842050,253172822,251653668,247650092,261647791,258973911,242252301,247900717,236245814,255840465,259346850,247584050,251416595,271436938,271436938
131072,32,4294906527,31,1,221897725,215633930,218765277,212563521,203156996,228788552,224521260,220797074,224882558,198247017,204210935,213772790,209620623,215590080,228476441,225007632,222710507,219882030,221385782,211818959,222162595,217192365,213501415,210537636,219965987,224912772,225176056,202706627,212107092,211499803,215043390,223483327,228788552
131072,32,4294914015,31,1,170139645,182982030,189844509,196174615,193797280,191076176,191553673,195932319,195955853,184873409,179086517,200156467,194785891,205248384,199563439,198850414,225858183,222237713,221582686,219742263,226671537,220374678,220081403,227807767,224415173,225465161,213896649,209625062,221905649,237517688,232725589,234885851,237517688
