n,k,i,p,m,r,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t
4194304,32,32,236,6200,51,346434202,342191594,343101527,338076401,346726174,343555522,343323222,339476637,335914027,347716335,343215552,341743147,328931576,333327242,332628872,343283963,339721550,352229189,338764557,348487238,336223510,343930506,339773135,331839004,356141734,347134372,351272906,342256923,355272751,360990892,348470387,344499203,360990892
4194304,32,32,612,5084,42,340201970,347406953,346140926,344293591,329020529,341400187,344723961,338476086,340552302,349208690,344721981,350144831,345982412,333587065,338651327,342587260,330271027,355184665,351059195,344463135,339243700,332029352,336125955,337532110,339465088,351419102,324919343,322115638,342126967,332006250,335912053,348521831,355184665
8388608,32,32,115,3348,28,379424162,375141963,382447759,379209241,367160496,378931678,363895780,376659340,373598790,382429527,356402144,375321247,381091714,377916797,372713719,377903863,369533457,374298733,366075406,367561889,374177131,380283737,376713635,363463118,368232588,375056314,387841934,365378096,382582983,371246986,383642847,378846259,387841934
8388608,32,32,425,6076,50,384999199,384602067,380593227,388083519,390793617,387604084,385688300,382148051,381028708,391683949,375224025,387467995,387469698,383476112,377469451,370315927,375713566,383454960,379082734,372855213,385650306,371774287,378247819,365620190,391555900,383781880,379934234,379064309,375490904,391333672,389287405,388467342,391683949
8388608,32,32,467,4712,39,389421113,395409208,393002976,398575886,406222486,403251104,400840821,397300492,389541740,381898092,394109479,401976793,401501704,396946464,406951823,397417931,388637866,384011019,392312351,396411127,389036201,392699783,389574945,384387221,392638481,399224141,406065188,386468849,394387428,388911966,400316077,407532359,407532359
8388608,32,32,499,5332,44,391384766,398335006,394723045,388851289,398695211,395800882,393525221,390620120,374112610,390329695,388382972,400092729,382287186,389751682,378436111,393911074,388669959,387020075,403801446,398123440,395483355,400627679,382890062,368573964,402251717,390990142,385259489,397320659,387212919,397486025,382226793,407218814,407218814
16777216,32,32,318,2728,23,478239915,482206283,469969718,489652790,487066232,484534849,481353917,478457633,477215671,471277061,465598755,477492240,472847692,491311918,488084540,485741981,482789418,477543436,482132258,485842843,473736525,489186780,485274127,478805542,494674010,470769033,487716283,479374114,486309547,490697497,479916298,476208714,494674010
16777216,32,32,399,3720,31,473891672,479839001,476432948,471287775,480234477,474828796,471937720,481428776,464895988,477329532,477304526,473221217,462020577,470433537,467846600,480786664,465839214,473800657,469731296,461836009,475141591,471097216,464106601,481353812,462932309,467958561,475593185,480454114,489636464,483058507,475533095,471142460,489636464
16777216,32,32,421,6696,55,495187397,492225981,488109556,499750803,491436619,494456525,496957584,480841981,476935010,489252966,484655018,499446708,495747382,495608385,500620454,483417446,491309839,489302724,487399537,495614783,480352366,485783687,496233759,492110715,483736234,491331823,495614441,479558094,510017877,492266496,505071665,499053558,510017877
16777216,32,32,74,3224,27,464320824,461633548,467572056,459497650,449972487,463984367,468051078,464692408,464663210,460719965,461286825,459457307,469860371,465007241,473435095,467836731,469348976,462651341,458838243,455268331,460551338,459355676,468188795,461649631,464319375,455539294,460364848,464075274,469678327,471235671,455139889,451256917,473435095
33554432,32,32,12,2728,23,677521066,672439320,681810554,676464803,683936325,687363425,681442103,678340052,677604261,674948881,668167684,661737033,654392420,675567301,686775454,683815809,681358629,678394563,672893794,668357844,680930146,672517567,676103369,686589322,675523343,698869186,691892797,681996136,644145411,683941049,663635098,650902118,698869186
33554432,32,32,182,5208,43,668794470,663231785,678951594,675609961,675592969,671960159,665506543,674919612,671517480,661690400,683778270,681013141,678529052,675714664,675683609,670262298,663876595,680088730,671746714,673539263,689924814,681200610,672238243,687825168,675831808,678022785,670613664,687686657,684429995,692828845,696011213,765646050,765646050
33554432,32,32,3,4836,40,677511048,686759248,683721563,683831744,679943805,669764131,665709332,673538476,672808982,679358088,685678199,677907783,684487327,675276984,680946133,667940862,680469442,668760084,689731179,686917260,684187759,681885970,676209313,677505951,678802229,664030587,673978031,655828748,691487211,686988958,680064488,697289047,697289047
33554432,32,32,37,6324,52,671912567,667930486,668482018,663983884,665524327,661358164,672538352,669234638,668934737,665061050,677533746,674662629,672164930,669223000,661051360,668186009,657390099,657136219,670830204,657971274,666725813,663675427,664959390,662047803,673650513,689938810,670364085,682637554,667216214,662079226,658451704,650902683,689938810
67108864,32,32,112,5084,42,1071656340,1068117846,1068163665,1064122439,1070607072,1065224892,1062341733,1067960855,1054041824,1073402806,1064791986,1058442329,1060584689,1051396133,1067837977,1075747294,1072487146,1070197797,1067082215,1061567956,1059762633,1053792315,1066647618,1066629667,1077886435,1081770904,1069713051,1066334390,1077535081,1081866017,1071467540,1067866461,1081866017
67108864,32,32,113,3844,32,1061971030,1056607793,1059157698,1053795493,1056248334,1061857501,1050026633,1057956883,1053193257,1045318509,1067161555,1063956773,1061483348,1058711723,1046212806,1050831554,1058258565,1053597761,1063470551,1058004063,1058868239,1050372494,1055242365,1046521532,1065290370,1060580268,1075915390,1057607824,1069910791,1063069388,1057632560,1054412049,1075915390
67108864,32,32,71,3348,28,1071204125,1068204060,1065739631,1062360317,1065781032,1071502445,1068371998,1062730514,1070183115,1067259062,1064243936,1064804700,1061917328,1059372854,1054871529,1061401428,1055652245,1060550700,1062104754,1056031688,1042270632,1069625185,1065880248,1052670595,1057577614,1064298422,1079801749,1076963998,1075600748,1081438358,1069013947,1064671865,1081438358
67108864,32,32,86,3100,26,1094882494,1089434678,1092068406,1086622781,1095496439,1089901085,1092568418,1086453550,1093503363,1090609568,1094843095,1092221053,1084347912,1078107924,1090510524,1086786509,1087155315,1078749818,1091087756,1085270479,1088767031,1093633125,1087508533,1082766897,1098147211,1085453137,1103378315,1088916829,1092311835,1086685269,1102085098,1097963793,1103378315
134217728,32,32,107,9176,75,1953612415,1949361478,1950546820,1945588378,1938025364,1943307805,1954693676,1932445178,1951435793,1949167722,1948278385,1958788138,1956071094,1953641870,1950643560,1939833008,1941247465,1949521579,1944974246,1938435903,1943308177,1952510033,1946152305,1938339227,1938724989,1931245338,1962024526,1950724710,1965237857,1954635759,1951297756,1960081594,1965237857
134217728,32,32,125,5580,46,1922031659,1919102327,1916571352,1913860014,1919832712,1913984027,1907170627,1920900528,1916812214,1911326155,1915997699,1911502833,1904187883,1914820057,1907461112,1910690370,1903193677,1921640042,1910138791,1913496354,1906673135,1918189390,1919082066,1931213005,1909517150,1926393497,1907749932,1932260238,1927389894,1918976847,1907377098,1902995171,1932260238
134217728,32,32,23,4712,39,1943933090,1938731268,1947153647,1941708376,1940370810,1945935127,1943215580,1937822444,1944263788,1942997909,1936030498,1950819906,1947303569,1944502827,1941510490,1940915735,1936162992,1948233314,1949770554,1947851932,1942059920,1937449491,1935915661,1944711762,1933213511,1945915174,1942325695,1952803769,1952282324,1954088442,1940200740,1944183145,1954088442
134217728,32,32,2,5580,46,1947781385,1944521818,1942089108,1938406150,1948260682,1945309042,1942907862,1940107254,1943883907,1946868071,1942330243,1938339385,1937895356,1925343479,1935257621,1945282434,1933331167,1928522151,1947791275,1921210208,1944037347,1940392667,1931862166,1935877389,1942203150,1950181956,1939075239,1954228359,1953695731,1957463543,1943192529,1942659104,1957463543
268435456,32,32,10,7936,65,3714997981,3709594664,3712113627,3706187241,3702940939,3703898683,3718099066,3714100928,3691705694,3714065434,3710179654,3713590770,3709712776,3698275029,3711389050,3705948078,3714326922,3687387056,3708933046,3705093060,3715301193,3701654002,3711801032,3712449118,3715991702,3711636964,3720370694,3723257758,3700249962,3709022446,3705384480,3714034129,3723257758
268435456,32,32,15,4836,40,3693867235,3690925267,3688337852,3685797842,3709704844,3715447192,3712474759,3706638591,3696072935,3701365796,3692062136,3703749369,3698529181,3714995723,3694010091,3711745577,3711611212,3707740652,3706721728,3702442788,3705960937,3701276703,3694500394,3698878230,3721394898,3728442376,3705649721,3714933604,3711107311,3699618348,3706030165,3712143040,3728442376
268435456,32,32,20,5332,44,3722260094,3720020568,3718035664,3725878239,3722285821,3726267693,3722351207,3718339819,3708568218,3716378210,3720481327,3703555936,3698526389,3715659885,3709350087,3730270421,3712364923,3727580800,3724970150,3721772475,3705978698,3694741017,3715427648,3703079498,3724498849,3716208621,3715955322,3711397985,3727533099,3730503356,3718120871,3726793669,3730503356
268435456,32,32,3,5952,49,3714143492,3708246921,3710607653,3704862122,3715923396,3712835582,3710382184,3706739706,3714526463,3711044962,3707856228,3704560686,3706469948,3699783790,3686777660,3694614063,3707495165,3712975778,3709219987,3701880536,3701255482,3687363655,3708753055,3695034995,3701209661,3698686510,3687892379,3715424312,3707774233,3724475131,3713862762,3722565730,3724475131
