n,k,i,p,m,r,t0,t1,t2,t3,t
8388608,4,4,570,288,25,944154320,929408264,921310920,939213040,944154320
8388608,4,4,698,300,26,918279727,926249701,943963569,934725414,943963569
8388608,4,4,839,300,26,937396713,945105642,950032396,932775841,950032396
8388608,4,4,853,300,26,930695515,938551581,920224191,912006556,938551581
8388608,4,4,902,276,24,925270124,939410197,945182205,934584248,945182205
8388608,4,4,991,300,26,943019556,954498214,939763043,954068714,954498214
16777216,4,4,10,288,25,1739059043,1744225108,1733964846,1730457914,1744225108
16777216,4,4,1279,276,24,1738699695,1735443791,1727641376,1747983223,1747983223
16777216,4,4,1320,312,27,1746336092,1743194948,1732563520,1739078077,1746336092
16777216,4,4,141,336,29,1748140813,1754273254,1768311281,1762849038,1768311281
16777216,4,4,153,360,31,1746703973,1752389976,1740902929,1735770924,1752389976
16777216,4,4,318,276,24,1752911474,1745268365,1738546542,1735291617,1752911474
16777216,4,4,3,336,29,1748783677,1760134304,1753490514,1741070456,1760134304
16777216,4,4,46,348,30,1740163063,1728959138,1746355087,1734223052,1746355087
16777216,4,4,49,324,28,1740556857,1748607382,1736827846,1731192677,1748607382
16777216,4,4,77,312,27,1749859922,1755544706,1761972846,1743754344,1761972846
16777216,4,4,90,312,27,1748163954,1739772362,1752220355,1736986426,1752220355
33554432,4,4,101,360,31,3451673808,3469975757,3464273543,3457109536,3469975757
33554432,4,4,138,312,27,3440792711,3449397113,3438358669,3431556812,3449397113
33554432,4,4,143,348,30,3434057931,3426015401,3422227016,3419323096,3434057931
33554432,4,4,145,336,29,3427330064,3435049057,3431016977,3420055888,3435049057
33554432,4,4,171,336,29,3449421079,3447166134,3434813941,3442305771,3449421079
33554432,4,4,185,312,27,3458467441,3450078641,3438432529,3445045467,3458467441
33554432,4,4,201,312,27,3445972776,3452951508,3441835217,3436646281,3452951508
33554432,4,4,302,324,28,3425027893,3435138658,3433771730,3419976523,3435138658
33554432,4,4,522,336,29,3461582097,3455238637,3443311398,3448119492,3461582097
33554432,4,4,57,348,30,3445574073,3436920988,3423017336,3431770534,3445574073
33554432,4,4,62,288,25,3420190304,3435604112,3426835654,3444330786,3444330786
67108864,4,4,133,336,29,6941659795,6936169188,6948084560,6930432221,6948084560
