n,k,i,p,m,r,t0,t1,t2,t3,t4,t5,t6,t7,t
33554432,8,8,4294967226,672,25,1814222815,1807728106,1832906852,1824077243,1833206513,1828258601,1818662089,1822627160,1833206513
33554432,8,8,4294967242,672,25,1798250543,1813123146,1810250885,1806485616,1812574157,1809620701,1798503897,1804353903,1813123146
33554432,8,8,4294967248,868,32,1812515384,1815942785,1804647183,1800847857,1813162304,1812569797,1802134928,1805560764,1815942785
33554432,8,8,4294967266,756,28,1809896180,1816779138,1799153429,1805107225,1820975649,1808045447,1819170795,1813381441,1820975649
33554432,8,8,4294967277,700,26,1819675826,1811342466,1827437215,1823279991,1834425062,1826426120,1820045006,1809793016,1834425062
33554432,8,8,4294967280,756,28,1822443191,1806410149,1813717925,1815374908,1799403616,1803878517,1807798396,1816863607,1822443191
33554432,8,8,4294967293,644,24,1831837997,1822117398,1828362345,1818001389,1835349744,1827410149,1822731631,1816345484,1835349744
67108864,8,8,4294966976,728,27,3502940550,3509062605,3497621134,3521816333,3523460122,3526985640,3516011181,3512501573,3526985640
67108864,8,8,4294966993,784,29,3513317117,3499447978,3506976128,3495193855,3508255145,3505617060,3491301284,3499629021,3513317117
67108864,8,8,4294967062,980,36,3515197760,3523817880,3508458624,3498168936,3515591845,3511873343,3505648407,3503908329,3523817880
67108864,8,8,4294967189,700,26,3493886509,3502391893,3505145675,3505980940,3511803338,3514066280,3500750711,3494437204,3514066280
67108864,8,8,4294967210,784,29,3506566238,3519912332,3513451069,3495562377,3501615844,3511409707,3520486848,3514863965,3520486848
67108864,8,8,4294967237,840,31,3504381082,3516290269,3508596985,3501954543,3506867565,3511058239,3502475504,3496153236,3516290269
67108864,8,8,4294967275,700,26,3507401876,3509375646,3514211737,3501592972,3503334192,3506509427,3501412968,3497305725,3514211737
67108864,8,8,4294967275,756,28,3482047095,3474256699,3490797916,3468996415,3490783483,3494455787,3488645720,3480342913,3494455787
67108864,8,8,4294967278,700,26,3496912061,3503186868,3491972993,3500095006,3487747663,3481576939,3493211585,3486121026,3503186868
67108864,8,8,4294967285,728,27,3523994252,3511446113,3504332284,3516230772,3499035408,3522648815,3510718511,3516590213,3523994252
134217728,8,8,4294967141,700,26,7017957450,7000331050,7006598505,7017768728,7013536422,7005825688,7018630833,7012746647,7018630833
134217728,8,8,4294967242,784,29,6993338429,6982845285,7002969802,6991354803,7009248709,6993682169,7006864051,6999539521,7009248709
134217728,8,8,4294967255,700,26,6997077861,6989976616,6986237487,6978371504,7001126106,7002722156,6991429873,6997319344,7002722156
134217728,8,8,4294967256,812,30,6988724441,6995493397,7000141436,6984210958,6999705704,6995319696,6988545223,6987615062,7000141436
134217728,8,8,4294967272,868,32,7012314834,7024030442,7028714281,7025391821,7021049627,7020516084,7027452112,7015835161,7028714281
134217728,8,8,4294967278,700,26,7015420747,7005560200,7012037190,7019424421,7024377987,6995455452,7011231379,7002567748,7024377987
134217728,8,8,4294967279,756,28,7023784190,7019328484,7012173787,7007780586,7029040009,7022127713,7018825962,7037655749,7037655749
134217728,8,8,4294967284,840,31,7022673751,7014201562,7024340984,7008869168,7027183946,7021101152,7013802218,7009114489,7027183946
134217728,8,8,4294967295,840,31,7010736951,7007542481,7000170688,6996198510,7006525469,7003953758,6996446325,6993273398,7010736951
268435456,8,8,4294967255,756,28,14279981775,14292037898,14289693180,14275512387,14286396608,14268555269,14279945832,14276236237,14292037898
268435456,8,8,4294967275,812,30,14275807745,14279883904,14263529264,14269341397,14291863917,14283094775,14293193185,14279768497,14293193185
268435456,8,8,4294967277,728,27,14404494679,14401974641,14394793858,14390883515,14401644318,14395371873,14391345041,14402599260,14404494679
268435456,8,8,4294967277,756,28,14268128843,14257554862,14274077935,14262450295,14267804183,14280146227,14284330750,14274682000,14284330750
268435456,8,8,4294967284,784,29,14277979336,14264536107,14284154949,14272190195,14270536873,14259866663,14274637041,14265250841,14284154949
268435456,8,8,4294967286,896,33,14285818335,14290105901,14277608625,14274470682,14271652651,14287695108,14284567258,14277296821,14290105901
