n,k,i,p,m,r,t0,t1,t2,t3,t4,t5,t6,t7,t
8388608,8,8,2147374712,672,25,643856802,642037711,647919384,636098539,630807162,622221142,636264098,628494628,647919384
8388608,8,8,2147441965,756,28,603475824,616333466,620752716,619318318,603079900,611846186,607923363,620001422,620752716
8388608,8,8,2147612850,448,17,605023707,615421384,621640616,615909988,606765783,615407480,606430072,610213972,621640616
8388608,8,8,2147707139,616,23,610789433,605935806,623461405,623874225,618254547,612954255,617212550,626666494,626666494
8388608,8,8,2148043825,700,26,606187059,617412325,613723381,601030795,619218003,618722270,613050537,608424214,619218003
8388608,8,8,2148252542,784,29,616144487,604649469,622192085,610545734,614160789,605402514,595823601,613134680,622192085
16777216,8,8,2146791428,812,30,1008691983,1019676437,1003057632,1016406313,1016847328,1010801434,1005326650,1003456466,1019676437
16777216,8,8,2147068486,868,32,1030805801,1022925798,1015360502,1026734635,1027796677,1025685853,1006966213,1015898446,1030805801
16777216,8,8,2147287398,924,34,1008775581,1016444156,1021216290,1006234454,1017001989,1019764756,1007062270,1011159893,1021216290
16777216,8,8,2147537783,784,29,986692185,991874382,1003900975,1000991105,997621530,1004047036,986938125,992813367,1004047036
16777216,8,8,2147556823,700,26,994711486,974412221,994419002,978728243,1000467897,985239804,980037318,991653597,1000467897
16777216,8,8,2147600980,868,32,998950504,991156818,986370358,976049302,996835579,988873988,989712248,999784459,999784459
16777216,8,8,2147622194,644,24,1004460049,997527821,983669146,979303569,991166568,996594069,991126072,995104233,1004460049
16777216,8,8,2147662583,784,29,1030862444,1013993417,1039254484,1020466464,1028835761,1038769638,1027581254,1031845007,1039254484
16777216,8,8,2147892331,616,23,1030507710,1015110264,1029491358,1026786285,1019494044,1010366087,1017340753,1028656633,1030507710
16777216,8,8,2147923751,588,22,982954001,995454071,990759879,1003114776,999172068,987279290,998252543,993078252,1003114776
33554432,8,8,2146938698,644,24,1823280521,1809002299,1826280016,1815461690,1817692137,1806984708,1801636789,1815335520,1826280016
33554432,8,8,2147184896,812,30,1830981462,1820662464,1808881599,1825948561,1828082883,1832255582,1821159958,1816217155,1832255582
33554432,8,8,2147233009,728,27,1827805659,1825871585,1814854835,1833167503,1821216015,1829141530,1818111244,1822470933,1833167503
33554432,8,8,2147250134,644,24,1823263549,1828011934,1823061863,1815325373,1811451192,1819819198,1808100267,1813687281,1828011934
33554432,8,8,2147262014,924,34,1817413989,1805440799,1818435094,1807152029,1803524777,1815456844,1819441223,1809488518,1819441223
33554432,8,8,2147334936,952,35,1809206647,1794062896,1788347200,1802968784,1812160610,1803083237,1797846483,1809247418,1812160610
33554432,8,8,2147357825,812,30,1803627100,1798705690,1810417864,1791177693,1813249047,1813281618,1804274401,1803390864,1813281618
