n,k,i,p,m,r,t0,t1,t
67108864,2,2,2147129918,108,28,28276336631,28271910193,28276336631
67108864,2,2,2147273788,100,26,14215448020,14210445608,14215448020
67108864,2,2,2147288067,100,26,29984587020,29969339601,29984587020
67108864,2,2,2147435979,100,26,28292788922,28287107515,28292788922
67108864,2,2,2147589797,104,27,28420188369,28444259599,28444259599
67108864,2,2,2147599205,100,26,28312256601,28308637754,28312256601
67108864,2,2,2147620348,104,27,28279858079,28312206114,28312206114
67108864,2,2,2147753963,108,28,28432508886,28408938867,28432508886
67108864,2,2,2147839428,100,26,14251934631,14254657870,14254657870
67108864,2,2,2148042048,96,25,14230837733,14226424060,14230837733
134217728,2,2,2147210452,88,23,38105753779,38107657857,38107657857
134217728,2,2,2147326393,112,29,58804147421,58780567970,58804147421
134217728,2,2,2147446194,100,26,58408213720,58403749104,58408213720
134217728,2,2,2147450832,112,29,58406093174,58432379089,58432379089
134217728,2,2,2147462240,108,28,29353287669,29357717740,29357717740
134217728,2,2,2147484805,104,27,34132598519,34136856207,34136856207
134217728,2,2,2147489619,112,29,58424240677,58456368294,58456368294
134217728,2,2,2147534899,116,30,57951897282,57939886444,57951897282
134217728,2,2,2147562359,108,28,29342008186,29346518691,29346518691
134217728,2,2,2147679072,104,27,29348128020,29351864746,29351864746
134217728,2,2,2147719355,104,27,29336075675,29330017378,29336075675
134217728,2,2,2147758252,104,27,58660469860,58684217344,58684217344
268435456,2,2,2147247354,124,32,60803537819,60808400731,60808400731
268435456,2,2,2147265073,112,29,60474770882,60481419275,60481419275
268435456,2,2,2147278831,104,27,60540067744,60532742223,60540067744
268435456,2,2,2147384477,124,32,60799498203,60804593118,60804593118
268435456,2,2,2147404524,112,29,119692367642,119716688718,119716688718
268435456,2,2,2147406546,112,29,60629895066,60616160432,60629895066
268435456,2,2,2147406572,108,28,60525083282,60528976854,60528976854
268435456,2,2,2147451630,108,28,121420329992,121456097832,121456097832
268435456,2,2,2147586973,116,30,119566183420,119560158660,119566183420
268435456,2,2,2147628385,108,28,60526680803,60529284654,60529284654
268435456,2,2,2147635054,104,27,116951569565,116943645239,116951569565
