n,k,i,p,m,r,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t
4194304,32,32,2149174661,5828,48,336972771,334076846,331516931,328714414,338257772,335285546,334671813,330614039,328418383,319582047,334038568,324099669,322380076,344495560,340413812,340304136,336304913,331619359,310710526,324322987,317370620,317382065,310954743,332297905,352058959,338582564,332041339,343243193,340992500,322507494,334477547,326126663,352058959
8388608,32,32,2146724893,6200,51,401148491,395527331,395564121,398782835,393897629,403083168,401635900,396036106,398748913,391472878,393381664,386975977,385591548,395841651,400989557,382898146,403680360,395971617,375323533,388213809,390588469,397236258,392637719,385059859,382542743,390757774,403282041,399386257,397683952,409213440,393645142,404408166,409213440
8388608,32,32,2147121224,4588,38,386913611,383647229,377948803,381412185,388634899,385368392,382997084,380093729,386873515,383673698,383527984,379557798,368331578,385106986,376071724,380776465,373299467,376747218,384491327,372732558,380472268,378459639,372157200,383923594,390415734,394388023,382607575,378812143,378918569,383548086,394064715,396295576,396295576
8388608,32,32,2147413081,3968,33,377936085,375532362,383802877,380808774,385256785,382106137,376948037,383117619,379913059,379951650,375938134,372237391,376522474,368373833,380513769,369279115,375393243,363579851,371179638,383384429,382812124,376446775,370915154,378030279,378656175,385817222,387658570,370290496,373413355,369007032,380882564,377992819,387658570
8388608,32,32,2147446130,3844,32,393174744,399021900,389028467,402426911,381561345,396741447,369158490,384539616,401279221,389140895,405696436,381948978,401541240,397616718,394118881,402407765,398871496,397465270,393967613,394816402,384643256,391147739,387949928,378874815,397584418,387382393,395023964,383298421,393780748,397287308,408768555,403277015,408768555
16777216,32,32,2146686956,3100,26,459799589,455962721,463337841,459739096,448346979,463033746,464104943,457814988,460757996,458392883,454630509,459977277,457195588,454634026,451922589,457190432,445289593,450815956,451284767,458109656,454779573,462572217,457677445,460943855,466052344,469704643,457740186,454301910,458751692,454841875,470761394,467582602,470761394
16777216,32,32,2146891878,5828,48,478896501,475811980,473274764,469660255,458938767,479794576,454779469,476577478,474207445,470289012,463800305,463134679,477459434,473625857,470426000,466612927,467805738,459975699,474735417,473755828,466627636,453847044,463164079,475034030,482600212,483691264,470402647,489768800,476889371,483502984,476154712,472180693,489768800
16777216,32,32,2147257167,5828,48,492380457,488912117,490416714,484478279,487675677,477961884,479580558,480966149,473183854,475845907,491445240,487195440,486384063,481982279,485118410,478775884,490821132,488023108,485419398,482515520,492039990,483421886,488114009,479141551,482315009,470888823,488020271,475395819,504285973,499531144,490615278,494399100,504285973
16777216,32,32,2148480008,4588,38,481143135,473877150,477545827,472406422,468294839,483744268,480140945,467994708,480210605,476428804,462327172,474225449,482347853,479070107,476652817,473787187,471736002,468247226,464696618,468182771,478735988,472290776,464704116,478079881,453705268,463315517,464859672,473531083,479920793,484969022,471186796,482653679,484969022
33554432,32,32,2146878224,4092,34,666084777,676879536,671491423,674384471,659128999,680034220,672270662,663023297,681650258,678706781,660647862,674976568,676227439,664337530,673434055,684666397,681586651,678804713,677419010,671031201,666143832,663014075,674671857,675251384,667131150,682073461,661403311,680505713,675399097,675667102,669408515,664402756,684666397
33554432,32,32,2147475170,5828,48,673227677,678815093,675900907,670313038,681894549,686890093,684142379,681495827,678003319,665642010,669043357,660971597,673415366,665327105,663687007,668872572,680373212,677877782,683091218,666531298,676047447,663143944,671042770,679936984,664272644,675933989,670395658,682026622,661206741,684589331,682880425,666784588,686890093
33554432,32,32,2147654219,6696,55,680341537,674413703,683651863,678093420,667467128,673465202,684214871,681148401,678750632,679450194,675074490,682767499,682062255,678210596,677866416,670380767,667461264,668568794,676346751,662370160,665712021,674514114,672106517,678764726,672808934,685388109,670223765,684215076,676399009,668200968,662622004,682116975,685388109
33554432,32,32,2147893899,2852,24,684084234,678493634,675723427,680837109,673844901,682982413,679921168,676202099,672632945,685524722,683322282,670859586,669405882,665228158,691038691,686540035,677374574,669097038,673099086,665701309,672832045,680492541,676473607,669976794,687358909,688004075,681755909,674712923,664686492,680515124,671437524,663119011,691038691
67108864,32,32,2146925379,4340,36,1056146218,1061912242,1058694769,1053305366,1062426929,1059031282,1056731979,1054021440,1044691100,1051338567,1047241953,1049799530,1058453160,1061652027,1056666415,1053436734,1054216110,1050313914,1042189165,1056920164,1044659571,1048124224,1042331739,1047206442,1054512755,1065054270,1055981833,1051872814,1043800900,1069691586,1051665851,1063138294,1069691586
67108864,32,32,2147515464,2852,24,1107520629,1100736326,1103881276,1097727001,1079686378,1092026540,1085315570,1072599557,1107031986,1105879962,1102226894,1101777398,1094210263,1093707835,1091039801,1097671795,1098988756,1096666642,1087388731,1106349931,1103164082,1100826948,1103868012,1089062070,1088590117,1104547648,1091840571,1108572042,1104744787,1097674930,1099986193,1093337605,1108572042
67108864,32,32,2147771626,3968,33,1053767523,1075101567,1072521353,1070046727,1066308823,1041897171,1051154270,1063360768,1066679559,1055964911,1075554091,1072248017,1069916029,1060078439,1066300222,1063836129,1070866061,1064615515,1074625988,1060698693,1071147532,1066963012,1056699985,1070328416,1071045067,1077362386,1066070551,1057954058,1063040578,1079038107,1076022721,1068595937,1079038107
67108864,32,32,2147834790,5084,42,1078679486,1073519033,1075906678,1070184317,1058797889,1079819020,1076559306,1074167170,1071731055,1078345156,1074314167,1073438591,1068593048,1069466042,1061096620,1066526232,1057448425,1069591118,1069067094,1061156623,1067168595,1072831711,1060110214,1067112514,1078386667,1076299612,1071646654,1087707315,1083467033,1070089254,1065428618,1077098949,1087707315
134217728,32,32,2147359689,7688,63,1953438646,1959608610,1955915685,1952601538,1941399332,1950253694,1946782543,1937677309,1960137753,1954786944,1957317095,1952247952,1947955198,1944642375,1954993773,1948698113,1940932347,1959211066,1953593428,1950563381,1956267249,1956189865,1951600992,1943799579,1952559394,1940346175,1957529691,1945673588,1966910380,1966556400,1958027383,1953025187,1966910380
134217728,32,32,2147384988,3224,27,1931072664,1927869106,1927911227,1924175323,1914683245,1932355221,1922284784,1929060138,1926774542,1917741588,1923533777,1910300397,1924400093,1930576131,1927093160,1926015938,1921979442,1917509225,1915184195,1920918243,1909520870,1923905907,1919592872,1905217522,1930695089,1915091939,1922973647,1911030151,1927059191,1932940402,1921824179,1919623958,1932940402
134217728,32,32,2147467433,5456,45,1941328302,1937734613,1934620798,1930395542,1927932205,1947693053,1940323819,1946531278,1942766513,1942181476,1931897514,1926034262,1918877830,1939803029,1936112602,1944087308,1939898900,1947210438,1944006927,1943012770,1938102056,1930342929,1936729463,1940157091,1944536534,1951422750,1935948677,1948141046,1938450215,1955881460,1951292304,1944410663,1955881460
134217728,32,32,2147712991,5580,46,1934302444,1930837289,1930645141,1926882529,1933414006,1929986024,1926545001,1923258438,1929210453,1921073949,1938389031,1921805396,1935065982,1931424438,1916688959,1925467891,1918292363,1930153313,1925679407,1930158017,1920109267,1932238839,1928678351,1925090553,1925427692,1933580217,1943426234,1951697452,1942956790,1927686250,1932582837,1941568579,1951697452
268435456,32,32,2147327774,8184,67,3750235612,3743319645,3741608992,3747814943,3751182025,3748323007,3748251099,3744327817,3741837527,3736862267,3745526265,3729396756,3733326031,3741045994,3746760248,3741152674,3749326257,3747248622,3743106762,3739788994,3743702764,3735153928,3746688246,3739065149,3747946009,3743322343,3741312879,3760384784,3753587278,3754891325,3747177877,3758261313,3760384784
268435456,32,32,2147367495,5332,44,3690215211,3695797092,3700053758,3707672565,3704277881,3704225682,3700608656,3689566284,3692861480,3708051338,3704926241,3702683110,3699778924,3699074653,3701873760,3693986880,3689785151,3703634997,3701324573,3698310127,3706877002,3707056169,3694973966,3703148533,3710516568,3690694725,3702860777,3699791652,3705880173,3700955846,3695166102,3689692126,3710516568
268435456,32,32,2147502765,7812,64,3734935806,3729336713,3732114227,3726256428,3729503214,3716278358,3730427378,3736022603,3732872769,3726591896,3734894303,3731943419,3722696539,3730221773,3726633171,3714960142,3719643050,3726249698,3727098639,3722694867,3713360901,3727967472,3707098683,3721626324,3733890102,3726674506,3724014439,3719444514,3732744364,3736517784,3727294957,3742277792,3742277792
268435456,32,32,2147547893,5084,42,3708856221,3702226246,3705333525,3698611924,3713506463,3708086632,3703755976,3694621393,3708223453,3700017380,3715113912,3711710496,3711906917,3708116635,3702212614,3714578861,3694506639,3709432885,3698671728,3706436484,3695539937,3704014003,3699519234,3692296252,3712306235,3707576996,3715049510,3722910669,3698505959,3702006731,3708036993,3704187529,3722910669
